location,sample,protien,copy_number,individual,Individual_prot
FL,NEW FL 1,TRIM,35.329,1,TRIM_1
FL,NEW FL 2 ,TRIM,19.702,2,TRIM_2
FL,NEW FL 3 ,TRIM,17.073,3,TRIM_3
FL,NEW FL 4 ,TRIM,21.497,4,TRIM_4
FL,NEW FL 5 ,TRIM,24.714,5,TRIM_5
FL,NEW FL 6 ,TRIM,23.058,6,TRIM_6
FL,NEW FL 7 ,TRIM,22.551,7,TRIM_7
FL,NEW FL 8 ,TRIM,16.070,8,TRIM_8
FL,NEW FL 1 ,STING,4.841,1,STING_1
FL,NEW FL 2 ,STING,3.645,2,STING_2
FL,NEW FL 3 ,STING,2.993,3,STING_3
FL,NEW FL 4 ,STING,3.342,4,STING_4
FL,NEW FL 5 ,STING,4.296,5,STING_5
FL,NEW FL 6 ,STING,1.842,6,STING_6
FL,NEW FL 7 ,STING,3.891,7,STING_7
FL,NEW FL 8 ,STING,3.106,8,STING_8
FL,NEW FL 1 ,cGAS,10.313,1,cGAS_1
FL,NEW FL 2 ,cGAS,11.183,2,cGAS_2
FL,NEW FL 3 ,cGAS,9.527,3,cGAS_3
FL,NEW FL 4 ,cGAS,10.705,4,cGAS_4
FL,NEW FL 5 ,cGAS,11.469,5,cGAS_5
FL,NEW FL 6 ,cGAS,9.533,6,cGAS_6
FL,NEW FL 7 ,cGAS,11.283,7,cGAS_7
FL,NEW FL 8 ,cGAS,9.789,8,cGAS_8
NC,NC 1 ,TRIM,7.146,1,TRIM_1
NC,NC 2 ,TRIM,8.763,2,TRIM_2
NC,NC 3 ,TRIM,7.788,3,TRIM_3
NC,NC 4 ,TRIM,8.006,4,TRIM_4
NC,NC 5 ,TRIM,8.518,5,TRIM_5
NC,NC 6 ,TRIM,7.187,6,TRIM_6
NC,NC 7 ,TRIM,11.398,7,TRIM_7
NC,NC 8 ,TRIM,10.437,8,TRIM_8
NC,NC 1 ,STING,2.545,1,STING_1
NC,NC 2 ,STING,3.162,2,STING_2
NC,NC 3 ,STING,2.664,3,STING_3
NC,NC 4 ,STING,2.291,4,STING_4
NC,NC 5 ,STING,2.570,5,STING_5
NC,NC 6 ,STING,1.905,6,STING_6
NC,NC 7 ,STING,2.530,7,STING_7
NC,NC 8 ,STING,3.438,8,STING_8
NC,NC 1 ,cGAS,1.257,1,cGAS_1
NC,NC 2 ,cGAS,1.288,2,cGAS_2
NC,NC 3 ,cGAS,1.305,3,cGAS_3
NC,NC 4 ,cGAS,1.368,4,cGAS_4
NC,NC 5 ,cGAS,4.661,5,cGAS_5
NC,NC 6 ,cGAS,1.212,6,cGAS_6
NC,NC 7 ,cGAS,1.800,7,cGAS_7
NC,NC 8 ,cGAS,5.141,8,cGAS_8
MA,MA 1 ,TRIM,1.111,1,TRIM_1
MA,MA 2 ,TRIM,0.920,2,TRIM_2
MA,MA 3 ,TRIM,1.011,3,TRIM_3
MA,MA 4 ,TRIM,1.016,4,TRIM_4
MA,MA 5 ,TRIM,1.032,5,TRIM_5
MA,MA 6 ,TRIM,1.040,6,TRIM_6
MA,MA 7 ,TRIM,1.150,7,TRIM_7
MA,MA 8 ,TRIM,1.251,8,TRIM_8
MA,MA 1 ,STING,3.470,1,STING_1
MA,MA 2 ,STING,2.513,2,STING_2
MA,MA 3 ,STING,2.080,3,STING_3
MA,MA 4 ,STING,2.712,4,STING_4
MA,MA 5 ,STING,2.765,5,STING_5
MA,MA 6 ,STING,2.968,6,STING_6
MA,MA 7 ,STING,2.923,7,STING_7
MA,MA 8 ,STING,3.085,8,STING_8
MA,MA 1 ,cGAS,2.315,1,cGAS_1
MA,MA 2 ,cGAS,1.536,2,cGAS_2
MA,MA 3 ,cGAS,2.229,3,cGAS_3
MA,MA 4 ,cGAS,1.612,4,cGAS_4
MA,MA 5 ,cGAS,2.229,5,cGAS_5
MA,MA 6 ,cGAS,1.785,6,cGAS_6
MA,MA 7 ,cGAS,1.477,7,cGAS_7
MA,MA 8 ,cGAS,1.833,8,cGAS_8
NH,NH 1 ,TRIM,1.342,1,TRIM_1
NH,NH 2 ,TRIM,1.186,2,TRIM_2
NH,NH 3 ,TRIM,1.571,3,TRIM_3
NH,NH 4 ,TRIM,1.406,4,TRIM_4
NH,NH 5 ,TRIM,1.245,5,TRIM_5
NH,NH 6 ,TRIM,1.266,6,TRIM_6
NH,NH 7 ,TRIM,1.286,7,TRIM_7
NH,NH 8 ,TRIM,1.465,8,TRIM_8
NH,NH 1 ,STING,3.120,1,STING_1
NH,NH 2 ,STING,2.493,2,STING_2
NH,NH 3 ,STING,3.111,3,STING_3
NH,NH 4 ,STING,2.803,4,STING_4
NH,NH 5 ,STING,2.717,5,STING_5
NH,NH 6 ,STING,2.898,6,STING_6
NH,NH 7 ,STING,2.912,7,STING_7
NH,NH 8 ,STING,3.177,8,STING_8
NH,NH 1 ,cGAS,2.768,1,cGAS_1
NH,NH 2 ,cGAS,1.866,2,cGAS_2
NH,NH 3 ,cGAS,2.685,3,cGAS_3
NH,NH 4 ,cGAS,2.302,4,cGAS_4
NH,NH 5 ,cGAS,2.238,5,cGAS_5
NH,NH 6 ,cGAS,2.167,6,cGAS_6
NH,NH 7 ,cGAS,2.199,7,cGAS_7
NH,NH 8 ,cGAS,2.465,8,cGAS_8
ME,ME 1 ,TRIM,1.077,1,TRIM_1
ME,ME 2 ,TRIM,0.998,2,TRIM_2
ME,ME 3 ,TRIM,1.083,3,TRIM_3
ME,ME 4 ,TRIM,1.073,4,TRIM_4
ME,ME 5 ,TRIM,1.088,5,TRIM_5
ME,ME 6 ,TRIM,1.029,6,TRIM_6
ME,ME 7 ,TRIM,1.234,7,TRIM_7
ME,ME 8 ,TRIM,0.979,8,TRIM_8
ME,ME 1 ,STING,3.251,1,STING_1
ME,ME 2 ,STING,3.151,2,STING_2
ME,ME 3 ,STING,3.367,3,STING_3
ME,ME 4 ,STING,2.677,4,STING_4
ME,ME 5 ,STING,2.736,5,STING_5
ME,ME 6 ,STING,3.265,6,STING_6
ME,ME 7 ,STING,3.800,7,STING_7
ME,ME 8 ,STING,3.228,8,STING_8
ME,ME 1 ,cGAS,2.474,1,cGAS_1
ME,ME 2 ,cGAS,2.338,2,cGAS_2
ME,ME 3 ,cGAS,2.463,3,cGAS_3
ME,ME 4 ,cGAS,2.310,4,cGAS_4
ME,ME 5 ,cGAS,2.154,5,cGAS_5
ME,ME 6 ,cGAS,2.293,6,cGAS_6
ME,ME 7 ,cGAS,2.522,7,cGAS_7
ME,ME 8 ,cGAS,2.266,8,cGAS_8
NS,NS 1 ,TRIM,1.352,1,TRIM_1
NS,NS 2 ,TRIM,1.080,2,TRIM_2
NS,NS 3 ,TRIM,1.350,3,TRIM_3
NS,NS 4 ,TRIM,0.907,4,TRIM_4
NS,NS 5 ,TRIM,1.375,5,TRIM_5
NS,NS 6 ,TRIM,1.065,6,TRIM_6
NS,NS 7 ,TRIM,1.297,7,TRIM_7
NS,NS 8 ,TRIM,1.239,8,TRIM_8
NS,NS 1 ,STING,3.350,1,STING_1
NS,NS 2 ,STING,2.311,2,STING_2
NS,NS 3 ,STING,2.150,3,STING_3
NS,NS 4 ,STING,2.086,4,STING_4
NS,NS 5 ,STING,3.197,5,STING_5
NS,NS 6 ,STING,2.426,6,STING_6
NS,NS 7 ,STING,2.754,7,STING_7
NS,NS 8 ,STING,4.176,8,STING_8
NS,NS 1 ,cGAS,2.756,1,cGAS_1
NS,NS 2 ,cGAS,2.051,2,cGAS_2
NS,NS 3 ,cGAS,2.373,3,cGAS_3
NS,NS 4 ,cGAS,2.270,4,cGAS_4
NS,NS 5 ,cGAS,2.315,5,cGAS_5
NS,NS 6 ,cGAS,2.502,6,cGAS_6
NS,NS 7 ,cGAS,2.052,7,cGAS_7
NS,NS 8 ,cGAS,2.372,8,cGAS_8